"","X","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"161","result.161",112672268,143961,7359,370,1007,0,0
"162","result.162",112745787,131582,9037,762,844,0,0
"163","result.163",113166056,174287,3930,514,1469,0,0
"164","result.164",114008220,100344,4946,307,920,0,0
"165","result.165",114430043,212765,1628,974,1196,0,0
"166","result.166",272970039,66081,28941,1779,142,0,0
"167","result.167",113226232,484556,10529,3918,5069,324,0
"168","result.168",114472145,992314,21832,3415,3206,0,0
"169","result.169",126116848,635146,11306,3329,3002,21,0
"170","result.170",127397469,710906,17603,1617,2909,15,0
"171","result.171",142654100,1162726,23577,4834,1698,0,0
"172","result.172",142656218,694790,4623,3553,1503,0,0
"173","result.173",146553971,822425,27551,2198,2180,0,0
"174","result.174",180297139,748178,8661,2690,2047,0,0
"175","result.175",272414403,936232,18545,4822,3120,62,0
"176","result.176",558580065,457107,6790,3229,2038,186,0
"177","result.177",100148554,4145,987,33,322,30,0
"178","result.178",112672974,382321,78529,1423,4469,126,0
"179","result.179",127139568,556580,14951,4647,5342,395,0
"180","result.180",120280939,43652,2574,883,724,89,0
"181","result.181",127711098,23006,3169,952,515,3,0
"182","result.182",146984915,106381,8033,1708,2514,28,0
"183","result.183",558581415,37517,3734,480,279,0,0
"184","result.184",100142354,149432,5225,2905,870,0,0
"185","result.185",126115436,18954,7743,99,559,5,0
"186","result.186",100148443,22067,1061,103,482,0,0
"187","result.187",127222723,411724,20426,2948,4776,0,0
"188","result.188",152994878,314191,8330,1702,1290,0,0
"189","result.189",157063781,358675,32108,2086,1206,0,0
"190","result.190",158321996,132037,5286,401,1784,0,0
"191","result.191",113144533,889391,2578,3816,3035,0,0
"192","result.192",277710753,452543,10312,1729,2829,1,0
"193","result.193",113935990,683507,9734,1960,6831,0,0
"194","result.194",115958115,630243,9550,1591,5237,64,0
"195","result.195",125832322,390161,8992,2770,2940,0,0
"196","result.196",146012934,314847,15250,1014,3871,0,0
"197","result.197",273028004,62958,23203,629,1062,0,0
